"","x"
"1",0.0192576266531568
"2",-0.0162716751977686
"3",-0.059311769365206
"4",-0.0319161001939621
"5",-0.0338796014315224
"6",0.000528728873913822
"7",-0.0359821726547962
"8",-0.0195375243840013
"9",0.0039718369070824
"10",0.0227224111417013
"11",-0.0204335379174288
"12",-0.0575431091543937
"13",-0.0306018473855031
"14",-0.0205042913243613
"15",0.0404921861476386
"16",0.00319834845698022
"17",-0.00608852084405653
"18",-0.0129765985459945
"19",-0.0206022769528774
"20",0.0363444736373138
"21",0.0436831913455558
"22",0.0305052761174061
"23",0.0178503851808886
"24",0.00348509044181884
"25",0.0111419885525232
"26",0.0602135808019369
"27",0.0599333680449636
"28",0.0254073389066324
"29",0.0228167078538948
"30",-0.0060880208027344
"31",0.0889687848244392
"32",0.0990945585391474
"33",0.138053640974992
"34",0.131483043918627
"35",0.0836425222347246
"36",0.125919771639013
"37",0.140022196806855
"38",0.233912416081034
"39",0.266804005173906
"40",0.301969579481346
"41",0.278375696192633
"42",0.238214715700641
"43",0.219486729256187
"44",0.152722612678655
"45",0.0838832771436495
"46",0.0405842958996157
"47",0.0684504645665924
"48",0.101778248289629
"49",0.0509072762340895
"50",0.0107955056602273
"51",-0.0371599352619433
"52",-0.0184188222989047
"53",0.00776026238691928
"54",0.0182039806041439
"55",-0.0528022645601361
"56",-0.103453398995378
"57",-0.0845350527409556
"58",-0.00849004350084702
"59",0.0189552931213682
"60",-0.000259633437977327
"61",0.069052697666373
"62",-0.0439051909868268
"63",-0.0812055905983333
"64",-0.139775295195026
"65",-0.0480821451359859
"66",0.00613157437079376
"67",-0.000233333983908546
"68",0.0172863826508088
"69",-0.0166002852650224
"70",-0.00355572782950856
"71",-0.0162895370090438
"72",-0.045117866882826
"73",-0.0833723610503818
"74",-0.0933227773093184
"75",-0.0927578462213939
"76",-0.0547592214798495
"77",-0.0511318274471347
"78",-0.0187914365625898
"79",-0.0141203769790216
"80",0.000835609245036846
"81",-0.00039410890349803
"82",-0.0252971308773355
"83",-0.0845229082639115
"84",-0.0742007851818916
"85",-0.0629324480111037
"86",0.0272624452750232
"87",0.0425106288727538
"88",-0.0187602450663411
"89",-0.0825811058485635
"90",-0.062718368584727
"91",-0.0310599423733956
"92",-0.00647249223482898
"93",-0.0569703115113969
"94",-0.038837238984182
"95",-0.0506474029837777
"96",-0.0227708066060089
"97",-0.0824232711893459
"98",-0.100935884647792
"99",-0.101925812069797
"100",-0.0266865289072507
"101",-0.00488886774956091
"102",-0.0867489247660399
"103",-0.0755879882248124
"104",-0.0999489655184878
"105",0.000270935447764116
"106",-0.0148496315499795
"107",-0.0506527686172015
"108",-0.0958980171074591
"109",-0.0654113623425097
"110",-0.0518326273754137
"111",-0.00253552304016883
"112",-0.0547585175985296
"113",-0.0428922030058502
"114",-0.0473673456988841
"115",0.00396443901263557
"116",-0.0236587482679208
"117",-0.043564317508836
"118",-0.071505318279122
"119",-0.0545335550564922
"120",-0.0333921299552273
"121",-0.014608292021159
"122",-0.000539318133833773
"123",-0.0202524787264063
"124",-0.0165728073912986
"125",0.00634512920009893
"126",0.0155235852159529
"127",-0.0438630652440294
"128",-0.0144050291738819
"129",-0.00871650044209644
"130",0.0323176108677157
"131",-0.000289488466712695
"132",-0.0224002977135482
"133",-0.0584899353541207
"134",-0.0307031681012241
"135",0.00769148460042372
"136",0.0126582288746371
"137",-0.0443080630290382
"138",-0.0742729703018875
"139",-0.0683222663753129
