"","x"
"1",-0.121271334792319
"2",0.137691683538066
"3",-0.179896530674982
"4",-0.0642062767439474
"5",0.039442245702224
"6",-0.0579387588077572
"7",0.122123602599642
"8",-0.0801723835761657
"9",-0.0528050475327469
"10",-0.0421667470580523
"11",0.0856964310175742
"12",-0.0732114209985473
"13",0.0244793470080044
"14",-0.0342010336418371
"15",0.0356864616916922
"16",-0.00988945233969165
"17",-0.00312933150836811
"18",0.0143905218823099
"19",0.0182321558353453
"20",0.0446052312223621
"21",0.0297343570660677
"22",0.0424719782068227
"23",0.101678230353784
"24",0.0762801596306627
"25",0.0323213050063943
"26",-0.0161101715638665
"27",0.185910762264169
"28",0.0864526189772186
"29",0.184938134158964
"30",0.0573701857125525
"31",0.145240194203508
"32",0.151985633928989
"33",0.233361390453689
"34",0.335045552035149
"35",-0.0186901707426759
"36",0.320460901034346
"37",0.259625790077845
"38",0.273259274342204
"39",0.301070445765566
"40",0.189840750049133
"41",0.199643891106146
"42",0.202429013945803
"43",0.051660679177091
"44",0.0529282832827486
"45",0.0544620146338624
"46",0.0812421773165331
"47",-0.0164689306579428
"48",0.0916531876642877
"49",-0.0209149717355312
"50",0.110072593848137
"51",-0.0352930373937305
"52",-0.12207168409539
"53",0.0205115231020495
"54",0.0800251515988966
"55",-0.0179187825989766
"56",-0.0191798195216256
"57",-0.0999669183162917
"58",-0.0166333054372268
"59",0.0173192368704743
"60",-0.340125776981989
"61",-0.0601224956513508
"62",-0.0814725677589203
"63",-0.026967312049159
"64",-0.114053572465243
"65",-0.0842299539815392
"66",-0.00876515067562557
"67",-0.175891450731485
"68",0.00227207811956129
"69",-0.0549372167733864
"70",-0.126615870897954
"71",0.03520299135836
"72",-0.0706727787658982
"73",-0.144916457397989
"74",-0.0368030275423233
"75",-0.100115930377642
"76",-0.065217244153099
"77",-0.0476543803039929
"78",-0.0237013834325047
"79",-0.114210666136034
"80",-0.0450454022627291
"81",-0.0253660932649541
"82",-0.00711518323693276
"83",-0.0380741616896668
"84",-0.0306790298601616
"85",-0.309389727654228
"86",-0.139648407746125
"87",0.00565731009397552
"88",0.0302339828549139
"89",-0.0388253108457782
"90",-0.0506588584438492
"91",-0.0252932560768622
"92",-0.0907062135059914
"93",-0.0896954778674026
"94",-0.115675322207892
"95",-0.0802524193766816
"96",-0.022974781873123
"97",-0.0563142045909748
"98",-0.0472629317225119
"99",-0.146918218650434
"100",-0.214295030374511
"101",-0.00307118611848126
"102",-0.126858960984277
"103",-0.0776790078230018
"104",-0.0946608971926542
"105",-0.0606088543304486
"106",-0.0101478806972885
"107",-0.0133322119303911
"108",-0.118296193072199
"109",0.00905031878807107
"110",-0.139101673935926
"111",-0.0196459528994213
"112",-0.0400729882898701
"113",0.0357157806960412
"114",-0.14348709016349
"115",-0.134019563634294
"116",0.0756477224721192
"117",0.00656711693275211
"118",-0.00372146972576397
"119",0.0191101324116571
"120",0.0562160270243485
"121",-0.066691806786799
"122",0.0227106439616525
"123",-0.064793783931597
"124",-0.100854927575923
"125",-0.118654293496436
"126",0.0781465753272392
"127",-0.111661140171671
"128",-0.00524282677097397
"129",-0.0349049533142095
"130",-0.0285568286945152
"131",-0.104749673698998
"132",0.0254653453160007
"133",-0.0721453659825494
"134",-0.16067402353278
"135",-0.0688463901733353
"136",-0.128715070997024
"137",0.0421009084838381
"138",-0.141997686658157
"139",-0.00357706539858422
