"","x"
"1",-0.143269601173479
"2",0.0697716365901824
"3",-0.0798460468124688
"4",0.0320789304144185
"5",-0.0962328435256433
"6",0.00782108418429448
"7",0.113398354800274
"8",-0.065356418812966
"9",-0.15499804221666
"10",-0.0834400917631472
"11",0.0862929673921111
"12",-0.0807095242897473
"13",0.218360330328595
"14",-0.120180859511311
"15",-0.123515223179358
"16",0.0963362208975693
"17",-0.0601881256863758
"18",0.127557351023698
"19",0.10651388489025
"20",-0.0429615006089237
"21",0.0508623597007776
"22",0.0489942630678657
"23",-0.0142009868685321
"24",0.258930825354119
"25",0.0176427449789034
"26",-0.104667263274758
"27",0.206064730634459
"28",-0.117940788437144
"29",0.472136479063089
"30",0.107553733920358
"31",0.225001490239541
"32",0.314122434985839
"33",0.0355538523047982
"34",0.365079798083263
"35",0.30678077431494
"36",0.48355775162007
"37",0.520459557776163
"38",0.528797122075773
"39",0.364072026542132
"40",0.256405116219093
"41",0.412919605255524
"42",0.135099209844839
"43",-0.058182580183691
"44",0.156955796703508
"45",0.161139945653783
"46",0.23229072535986
"47",-0.0985449317779035
"48",-0.028388221358988
"49",-0.0588938737020804
"50",0.0344939363908847
"51",0.0445328426260045
"52",0.036934258408371
"53",-0.282927261387779
"54",-0.215013695334122
"55",0.0252227736955727
"56",0.067623730223091
"57",-0.0399107082549626
"58",-0.0192363249886138
"59",0.351749677935022
"60",-0.469112865252546
"61",-0.192010746474698
"62",-0.122439289673176
"63",-0.0624363196821336
"64",0.138907474032542
"65",-0.0650667055082911
"66",0.0830740957674147
"67",-0.130440477525167
"68",0.0114951752432435
"69",0.0660335870873341
"70",-0.226146603419094
"71",-0.198703182589015
"72",-0.126584953634303
"73",-0.214790509021446
"74",-0.000407033214827868
"75",-0.0691729556614106
"76",-0.0301482504702822
"77",-0.00684796514507322
"78",0.0105938225620995
"79",-0.0152637140971055
"80",-0.110123914699438
"81",-0.25124227458826
"82",-0.00869000242587504
"83",-0.0649449459096087
"84",0.179976209845989
"85",0.106417684592273
"86",-0.317230785067107
"87",-0.163627420196679
"88",0.0405312382110536
"89",-0.0704987748951394
"90",0.0455716897117746
"91",-0.248920593148675
"92",-0.035439976638042
"93",-0.0172148775944809
"94",-0.0354735494004724
"95",-0.248693445551576
"96",-0.232756483680044
"97",-0.110935981436064
"98",0.0875033257010726
"99",-0.0173861956899825
"100",-0.414731282750056
"101",0.0265620487592462
"102",-0.186119359093783
"103",0.102795416551706
"104",-0.0151135736052474
"105",-0.229436944390936
"106",-0.189346131545304
"107",0.0661363211123432
"108",-0.213185776129689
"109",0.132858065916624
"110",-0.181082375118986
"111",-0.0748274077249536
"112",-0.0156637954884194
"113",0.0717486846053688
"114",-0.240836592828791
"115",-0.00905734634482752
"116",-0.133882359630124
"117",-0.0751155495511406
"118",-0.0122167542227564
"119",0.0377853458865702
"120",-0.0257988408734194
"121",-0.0724598276435415
"122",-0.00294678732089664
"123",0.0709609509734484
"124",-0.031528757877796
"125",-0.270694087072407
"126",0.211774240562099
"127",-0.0461251086196739
"128",0.0590281927102289
"129",0.0228245216447316
"130",-0.0939706779507739
"131",-0.197639051218903
"132",0.0739996492858957
"133",0.0625673628498872
"134",-0.0767731003284745
"135",-0.202648633870683
"136",-0.0837009275592912
"137",-0.105831655230286
"138",0.0645190249148288
"139",-0.00771067442686004
