"","x"
"1",-0.140656783352679
"2",0.0725904754837525
"3",-0.0836284441117882
"4",0.0372779800858042
"5",-0.0950364436023303
"6",0.00148400986249638
"7",0.112757646509762
"8",-0.0572041487123802
"9",-0.160339348776775
"10",-0.0735582224630732
"11",0.0970426397684086
"12",-0.0866681470578126
"13",0.214161815144127
"14",-0.124203688076727
"15",-0.123904010429066
"16",0.100324060967472
"17",-0.0615148348115917
"18",0.127288382954649
"19",0.0968821170956532
"20",-0.0427199778132949
"21",0.0623467199331666
"22",0.0385763444157499
"23",-0.000535592551940773
"24",0.266228783079682
"25",0.000774133579838824
"26",-0.106273329340329
"27",0.215950448750646
"28",-0.119512013292715
"29",0.462112401696901
"30",0.0979288307628973
"31",0.258366011042677
"32",0.305116511775856
"33",0.0294821719886619
"34",0.363695584383512
"35",0.279782946842019
"36",0.478735884571589
"37",0.522928804263337
"38",0.548609104777442
"39",0.351945579220113
"40",0.269839022332743
"41",0.422843265774787
"42",0.152808563809446
"43",-0.0609361690065124
"44",0.164080232198131
"45",0.16981928927421
"46",0.227099321495705
"47",-0.0916741377443505
"48",-0.033424813258851
"49",-0.0557043600783791
"50",0.0516893849036851
"51",0.0275002169948328
"52",0.0370609265793291
"53",-0.287481054437061
"54",-0.202095956828147
"55",0.03678831833509
"56",0.0635128433455469
"57",-0.0410149306882958
"58",-0.013797985161871
"59",0.34378458716396
"60",-0.458493457831292
"61",-0.205104333874855
"62",-0.122647171915911
"63",-0.0640734504072676
"64",0.135295257378184
"65",-0.0675268295243741
"66",0.0827521001487772
"67",-0.132528032307428
"68",0.0206754192818959
"69",0.068423804102636
"70",-0.232554326312877
"71",-0.19151802030151
"72",-0.125931484256823
"73",-0.207776174000228
"74",-0.00143221461909534
"75",-0.0689100336186726
"76",-0.0263685346818738
"77",-0.00660921150432169
"78",0.0119051832055133
"79",-0.0143466811637549
"80",-0.104428737654337
"81",-0.238727066427873
"82",0.00177567046194947
"83",-0.0716501553576215
"84",0.170253623326111
"85",0.127281129076952
"86",-0.330215705672824
"87",-0.154313457636149
"88",0.054550626984431
"89",-0.0794606527727952
"90",0.0427403328892361
"91",-0.259198674534416
"92",-0.0310588518290386
"93",-0.0240265185350594
"94",-0.0247921472065315
"95",-0.25915985247354
"96",-0.221595945674872
"97",-0.105539554550445
"98",0.0791379850198075
"99",-0.0220285271297926
"100",-0.418379550756983
"101",0.0340159525178271
"102",-0.186574642515289
"103",0.100666338469577
"104",-0.0240094357072806
"105",-0.230903478593165
"106",-0.188397578589072
"107",0.0643784151830302
"108",-0.217493690475927
"109",0.138171370549095
"110",-0.186461099249961
"111",-0.0733555773580944
"112",-0.0187156004225781
"113",0.0820259441514961
"114",-0.243835809341692
"115",-0.0123797649371497
"116",-0.125642590194673
"117",-0.0644456306026532
"118",-0.0163592390449923
"119",0.0320972119592317
"120",-0.0291550567076427
"121",-0.0776997715441879
"122",0.0013529411356365
"123",0.080773373473806
"124",-0.0377760616892505
"125",-0.261277190767486
"126",0.214635887406775
"127",-0.0443942466797932
"128",0.0499911142104496
"129",0.0219393627203914
"130",-0.0915497650139926
"131",-0.193768083387084
"132",0.0804564936716056
"133",0.0708745689556956
"134",-0.094142803686131
"135",-0.205040877097173
"136",-0.0637745836387578
"137",-0.0907728269489174
"138",0.0566496271207287
"139",0.000313658689457934
