"","x"
"1",-0.148244113788119
"2",0.0763005886341447
"3",-0.086116840236611
"4",0.0325114821753483
"5",-0.0906567844057075
"6",-0.000703249364545114
"7",0.118067951840763
"8",-0.0613510033904645
"9",-0.149554845776613
"10",-0.0806688203349877
"11",0.0857101691610029
"12",-0.0828610269169187
"13",0.201256664915196
"14",-0.0973439956327158
"15",-0.13052780651109
"16",0.101491873286772
"17",-0.0571168153613028
"18",0.116845294925403
"19",0.101245393195046
"20",-0.0314349330278529
"21",0.0528779355190754
"22",0.0464701719373593
"23",-0.00741298669882334
"24",0.252292379353978
"25",0.00951318279820918
"26",-0.0912844239716595
"27",0.20790904808881
"28",-0.113073643292849
"29",0.467230619552856
"30",0.0908261895485298
"31",0.218577414486165
"32",0.308825050660109
"33",0.0251163143679105
"34",0.372030612793766
"35",0.291397486306018
"36",0.474802508401885
"37",0.490740197553834
"38",0.497144200360769
"39",0.349996311613109
"40",0.242791949479627
"41",0.390018527150502
"42",0.129119726229634
"43",-0.0622917030547631
"44",0.142166314617135
"45",0.153639772341805
"46",0.228124098244436
"47",-0.104680362730784
"48",-0.0197251006589166
"49",-0.0496554318529444
"50",0.0306060300976474
"51",0.0319949955664146
"52",0.021770137170107
"53",-0.250572412731057
"54",-0.191044023995461
"55",0.0239346717724649
"56",0.0622818571172574
"57",-0.0328025495608397
"58",-0.0198856925234433
"59",0.329485530293637
"60",-0.449261079202559
"61",-0.17620756118908
"62",-0.121901441952076
"63",-0.057000769447736
"64",0.135544927165198
"65",-0.0602549267130487
"66",0.0875697825249079
"67",-0.131822838609481
"68",0.0200129500523157
"69",0.0623276493510281
"70",-0.212168770390902
"71",-0.189713954112122
"72",-0.113276217344251
"73",-0.206334663736668
"74",0.00223222585792378
"75",-0.061806924633254
"76",-0.0287787915634843
"77",-0.0026882875091892
"78",0.0156990365355819
"79",-0.0163618041365961
"80",-0.100593642674514
"81",-0.238146063427308
"82",0.000218842142566949
"83",-0.0695528864183374
"84",0.171310959245537
"85",0.101043402188893
"86",-0.306966657330532
"87",-0.156204265260813
"88",0.0467214830116703
"89",-0.0684853400537416
"90",0.0450455723209944
"91",-0.244738597632867
"92",-0.0346289261183439
"93",-0.0136336898059675
"94",-0.0285324129815295
"95",-0.247006495110596
"96",-0.219124965486954
"97",-0.10139999923409
"98",0.0803886991018716
"99",-0.0202934118440373
"100",-0.395493386527649
"101",0.0278904565151075
"102",-0.181266838551139
"103",0.0968645161305431
"104",-0.0178816684498163
"105",-0.220147421100956
"106",-0.173829177191872
"107",0.0599907908020209
"108",-0.209269309820646
"109",0.129716676241542
"110",-0.174766651556738
"111",-0.0710975832430984
"112",-0.00797740166233314
"113",0.0618302433115949
"114",-0.238909070602351
"115",-0.0135872686411485
"116",-0.128116960976755
"117",-0.0635531081086447
"118",-0.0099793368330944
"119",0.0347157462782806
"120",-0.0266741996804811
"121",-0.0752303396003793
"122",0.00384000058066923
"123",0.0694045018040762
"124",-0.0259092806506367
"125",-0.271193305947724
"126",0.206449629897743
"127",-0.0534861014453594
"128",0.0597102895563683
"129",0.0278894059370299
"130",-0.0928166794553329
"131",-0.196366649331009
"132",0.0724284511046195
"133",0.0570281966378521
"134",-0.0774189019383831
"135",-0.197770670261939
"136",-0.0768835545561751
"137",-0.100591798347839
"138",0.0526293967937624
"139",-0.00427936712384962
